Car Manufacturer,Car Model,Car Picture,Car Brand Logo,Fuel-system,Horse power,Peak-RPM,HighwayMillage,Price in USD
Audi,Sedan,https://imgcdn.zigwheels.ph/medium/gallery/exterior/35/739/audi-a4-front-angle-low-view-707872.jpg,https://cdn.iconscout.com/icon/free/png-512/audi-6-282743.png,Mpfi,110,4250,25,15250
Audi,Sedan,https://imgcdn.zigwheels.ph/medium/gallery/exterior/35/739/audi-a4-front-angle-low-view-707872.jpg,https://cdn.iconscout.com/icon/free/png-512/audi-6-282743.png,Mpfi,110,5500,25,17710
Audi,Sedan,https://imgcdn.zigwheels.ph/medium/gallery/exterior/35/739/audi-a4-front-angle-low-view-707872.jpg,https://cdn.iconscout.com/icon/free/png-512/audi-6-282743.png,Idi,140,6000,20,23875
BMW,Sedan,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/X1/7625/1583398555726/front-left-side-47.jpg,https://cdn.iconscout.com/icon/free/png-512/bmw-1863540-1580030.png,Idi,101,5800,29,16430
BMW,Sedan,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/X1/7625/1583398555726/front-left-side-47.jpg,https://cdn.iconscout.com/icon/free/png-512/bmw-1863540-1580030.png,Idi,101,5800,29,16925
BMW,Sedan,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/X1/7625/1583398555726/front-left-side-47.jpg,https://cdn.iconscout.com/icon/free/png-512/bmw-1863540-1580030.png,Idi,121,4250,28,20970
BMW,Sedan,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/X1/7625/1583398555726/front-left-side-47.jpg,https://cdn.iconscout.com/icon/free/png-512/bmw-1863540-1580030.png,Idi,121,4250,28,21105
BMW,Sedan,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/X1/7625/1583398555726/front-left-side-47.jpg,https://cdn.iconscout.com/icon/free/png-512/bmw-1863540-1580030.png,Idi,121,4250,25,24565
BMW,Sedan,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/X1/7625/1583398555726/front-left-side-47.jpg,https://cdn.iconscout.com/icon/free/png-512/bmw-1863540-1580030.png,Idi,182,5400,22,30760
BMW,Sedan,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/X1/7625/1583398555726/front-left-side-47.jpg,https://cdn.iconscout.com/icon/free/png-512/bmw-1863540-1580030.png,Idi,182,5400,22,41315
BMW,Sedan,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/X1/7625/1583398555726/front-left-side-47.jpg,https://cdn.iconscout.com/icon/free/png-512/bmw-1863540-1580030.png,Idi,182,5400,20,36880
Jaguar,Hardtop,https://s1.1zoom.me/big0/558/Jaguar_White_Clouds_475610.jpg,https://i.pinimg.com/originals/c4/6a/82/c46a825b80dfea33f0d79a03370da40e.png,Mpfi,176,4750,19,32250
Jaguar,Hardtop,https://s1.1zoom.me/big0/558/Jaguar_White_Clouds_475610.jpg,https://i.pinimg.com/originals/c4/6a/82/c46a825b80dfea33f0d79a03370da40e.png,Idi,176,4750,19,35550
Jaguar,Hardtop,https://s1.1zoom.me/big0/558/Jaguar_White_Clouds_475610.jpg,https://i.pinimg.com/originals/c4/6a/82/c46a825b80dfea33f0d79a03370da40e.png,Mpfi,262,5000,17,36000
Volkswagen,Convertible,https://besthqwallpapers.com/Uploads/27-2-2018/42163/thumb2-volkswagen-golf-gti-4k-mk7-tuning-night.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Volkswagen_logo.png,Mpfi,90,5500,29,11595
Volkswagen,Convertible,https://besthqwallpapers.com/Uploads/27-2-2018/42163/thumb2-volkswagen-golf-gti-4k-mk7-tuning-night.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Volkswagen_logo.png,Mpfi,90,5500,29,9980
Volkswagen,Convertible,https://besthqwallpapers.com/Uploads/27-2-2018/42163/thumb2-volkswagen-golf-gti-4k-mk7-tuning-night.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Volkswagen_logo.png,Idi,52,4800,46,7775
Volkswagen,Convertible,https://besthqwallpapers.com/Uploads/27-2-2018/42163/thumb2-volkswagen-golf-gti-4k-mk7-tuning-night.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Volkswagen_logo.png,Mpfi,85,5250,34,7975
Volkswagen,Convertible,https://besthqwallpapers.com/Uploads/27-2-2018/42163/thumb2-volkswagen-golf-gti-4k-mk7-tuning-night.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Volkswagen_logo.png,Idi,52,4800,46,7995
Volkswagen,Convertible,https://besthqwallpapers.com/Uploads/27-2-2018/42163/thumb2-volkswagen-golf-gti-4k-mk7-tuning-night.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Volkswagen_logo.png,Mpfi,85,5250,34,8195
Volkswagen,Convertible,https://besthqwallpapers.com/Uploads/27-2-2018/42163/thumb2-volkswagen-golf-gti-4k-mk7-tuning-night.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Volkswagen_logo.png,Mpfi,85,5250,34,8495
Volkswagen,Convertible,https://besthqwallpapers.com/Uploads/27-2-2018/42163/thumb2-volkswagen-golf-gti-4k-mk7-tuning-night.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Volkswagen_logo.png,Idi,68,4500,42,9495
Volkswagen,Convertible,https://besthqwallpapers.com/Uploads/27-2-2018/42163/thumb2-volkswagen-golf-gti-4k-mk7-tuning-night.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Volkswagen_logo.png,Mpfi,100,5500,32,9995
Volkswagen,Convertible,https://besthqwallpapers.com/Uploads/27-2-2018/42163/thumb2-volkswagen-golf-gti-4k-mk7-tuning-night.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Volkswagen_logo.png,Mpfi,110,5500,24,13295
Volkswagen,Convertible,https://besthqwallpapers.com/Uploads/27-2-2018/42163/thumb2-volkswagen-golf-gti-4k-mk7-tuning-night.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Volkswagen_logo.png,Idi,68,4500,38,13845
Volkswagen,Convertible,https://besthqwallpapers.com/Uploads/27-2-2018/42163/thumb2-volkswagen-golf-gti-4k-mk7-tuning-night.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Volkswagen_logo.png,Mpfi,88,5500,31,12290
Volvo,Sedan,https://wallpapercave.com/wp/wp3708432.jpg,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,Mpfi,114,5400,28,12940
Volvo,Sedan,https://wallpapercave.com/wp/wp3708432.jpg,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,Mpfi,114,5400,28,15985
Volvo,Sedan,https://wallpapercave.com/wp/wp3708432.jpg,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,Mpfi,162,5100,22,18420
Volvo,Sedan,https://wallpapercave.com/wp/wp3708432.jpg,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,Mpfi,114,5400,28,16845
Volvo,Sedan,https://wallpapercave.com/wp/wp3708432.jpg,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,Mpfi,160,5300,25,19045
Volvo,Sedan,https://wallpapercave.com/wp/wp3708432.jpg,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,Mpfi,134,5500,23,21485
Volvo,Sedan,https://wallpapercave.com/wp/wp3708432.jpg,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,Idi,106,4800,27,22470
Volvo,Sedan,https://wallpapercave.com/wp/wp3708432.jpg,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,Idi,114,5400,25,22625
Volvo,Sedan,https://wallpapercave.com/wp/wp3708432.jpg,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,Idi,114,5400,28,13415
Volvo,Sedan,https://wallpapercave.com/wp/wp3708432.jpg,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,Idi,114,5400,28,16515
Volvo,Sedan,https://wallpapercave.com/wp/wp3708432.jpg,https://www.carlogos.org/logo/Volvo-logo-2014-1920x1080.png,Idi,162,5100,22,18950
